Country Name,Country Code,Series,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Costa Rica,CRI,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,3.93,..,..,..,..,4.12,..,..,..,..,3.94,..,..,..,..,5.15,..,..,..,..,6.11,..,..,..,..,6.7,..,..,..,..,7.11,..,..,..,..,7.42,..,..,..,..,7.7,..,..,..,..,8.12,..,..,..,..,7.97,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cote d'Ivoire,CIV,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,0.93,..,..,..,..,1.04,..,..,..,..,1.29,..,..,..,..,1.71,..,..,..,..,2.06,..,..,..,..,2.37,..,..,..,..,2.69,..,..,..,..,3.3,..,..,..,..,3.87,..,..,..,..,4.26,..,..,..,..,4.65,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Croatia,HRV,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,5.2,..,..,..,..,5.54,..,..,..,..,7.06,..,..,..,..,7.63,..,..,..,..,8.04,..,..,..,..,8.44,..,..,..,..,8.57,..,..,..,..,9.08,..,..,..,..,9.71,..,..,..,..,10.58,..,..,..,..,11.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cuba,CUB,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,4.17,..,..,..,..,4.76,..,..,..,..,5.3,..,..,..,..,6.23,..,..,..,..,8.06,..,..,..,..,8.09,..,..,..,..,8.54,..,..,..,..,8.8,..,..,..,..,8.91,..,..,..,..,9.51,..,..,..,..,10.16,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,5.07,..,..,..,..,5.53,..,..,..,..,5.88,..,..,..,..,6.68,..,..,..,..,7.5,..,..,..,..,8.44,..,..,..,..,9.14,..,..,..,..,9.6,..,..,..,..,9.94,..,..,..,..,9.28,..,..,..,..,11.07,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Czechia,CZE,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,8.33,..,..,..,..,9.01,..,..,..,..,9.56,..,..,..,..,9.94,..,..,..,..,10.21,..,..,..,..,10.43,..,..,..,..,10.83,..,..,..,..,11.99,..,..,..,..,12.69,..,..,..,..,12.73,..,..,..,..,12.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Denmark,DNK,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,7.65,..,..,..,..,8.05,..,..,..,..,6.78,..,..,..,..,7.46,..,..,..,..,8.14,..,..,..,..,8.77,..,..,..,..,9.35,..,..,..,..,10.04,..,..,..,..,10.77,..,..,..,..,11.1,..,..,..,..,11.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Djibouti,DJI,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,DOM,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,2.77,..,..,..,..,3.08,..,..,..,..,3.63,..,..,..,..,4.26,..,..,..,..,4.98,..,..,..,..,5.52,..,..,..,..,6.02,..,..,..,..,6.31,..,..,..,..,6.98,..,..,..,..,7.4,..,..,..,..,7.85,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ecuador,ECU,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,3.22,..,..,..,..,3.87,..,..,..,..,4.42,..,..,..,..,4.92,..,..,..,..,6.15,..,..,..,..,6.56,..,..,..,..,7,..,..,..,..,7.1,..,..,..,..,7.1,..,..,..,..,7.37,..,..,..,..,7.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Egypt, Arab Rep.",EGY,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,0.81,..,..,..,..,1.04,..,..,..,..,1.31,..,..,..,..,1.69,..,..,..,..,2.65,..,..,..,..,3.76,..,..,..,..,4.41,..,..,..,..,5.12,..,..,..,..,6.03,..,..,..,..,6.66,..,..,..,..,7.15,..,..,..,..,..,..,..,..,..,..,..,..,..,..
El Salvador,SLV,"Barro-Lee: Average years of total schooling, age 15+, total",BAR.SCHL.15UP,1.97,..,..,..,..,2.36,..,..,..,..,2.83,..,..,..,..,3.24,..,..,..,..,3.59,..,..,..,..,4.25,..,..,..,..,4.67,..,..,..,..,5.42,..,..,..,..,6.59,..,..,..,..,7.34,..,..,..,..,7.77,..,..,..,..,..,..,..,..,..,..,..,..,..,..
